first_name,last_name,ssn,email
Tina,Fleming,619-16-7988,Tina.Fleming@buzzkill.com
Erica,Shah,164-51-7615,Erica.Shah@buzzkill.com
Paula,Ortiz,051-83-3290,Paula.Ortiz@buzzkill.com
James,Hendricks,776-83-2884,James.Hendricks@buzzkill.com
Lauren,King,197-94-2398,Lauren.King@buzzkill.com
David,Cowan,252-92-1832,David.Cowan@buzzkill.com
Andrew,Burton,296-23-6842,Andrew.Burton@buzzkill.com
Julian,Baker,337-40-7543,Julian.Baker@buzzkill.com
Scott,Castro,399-46-5595,Scott.Castro@buzzkill.com
Billy,Rodriguez,014-18-2503,Billy.Rodriguez@buzzkill.com
Darrell,Leblanc,005-82-7918,Darrell.Leblanc@buzzkill.com
David,Hammond,561-17-6312,David.Hammond@buzzkill.com
